"catalog_number","pollinator_family","pollinator_genus","pollinator_species","pollinator_sex","plant_sp_code","plant_species","collection_method","pantrap_colour","collector_number","day_collected","month_collected","year_collected","time_of_day_collected","location_description","location_name","habitat","latitude","longitude","basis_of_record","location_specimen","study_director","study"
"BBSL706426","Syrphidae","Sphaerophoria","sulphuripes","M",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:08 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706427","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:08 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706428","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:08 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706429","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:08 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706430","Colletidae","Hylaeus","modestus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:08 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706431","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706432","Halictidae","Sphecodes","sp.","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","YORK","Elle","GO_PT_2005"
"BBSL706433","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706434","Crabronidae","Tachysphex",NA,"F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706435","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706436","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706437","Halictidae","Lasioglossum","laevissimum","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:09 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706438","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706439","Halictidae","Lasioglossum","villosulum","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706440","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706441","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700977","Halictidae","Lasioglossum","incompletum","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","GIBBS","Elle","GO_PT_2005"
"BBSL700978","Halictidae","Lasioglossum","pacificum","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700979","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700980","Halictidae","Lasioglossum","sp. 2","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700981","Syrphidae","Eristalis","tenax","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700982","Andrenidae","Andrena","candida","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700983","Halictidae","Lasioglossum","incompletum","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700984","Halictidae","Lasioglossum","nevadense","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700985","Syrphidae","Melanostoma","mellinum","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700986","Ichneumonidae","Ichneumonidae",NA,"F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","TEACH","Elle","GO_PT_2005"
"BBSL700987","Halictidae","Lasioglossum","incompletum","F",NA,NA,"Pantrap, yellow","yellow",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","GIBBS","Elle","GO_PT_2005"
"BBSL700988","Megachilidae","Osmia","lignaria","M",NA,NA,"Pantrap, white","white",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700989","Syrphidae","Melanostoma","mellinum","F",NA,NA,"Pantrap, white","white",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700990","Halictidae","Lasioglossum","incompletum","F",NA,NA,"Pantrap, white","white",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL700991","Halictidae","Lasioglossum","sp. 6","F",NA,NA,"Pantrap, white","white",7,24,"Mar",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706442","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, yellow","yellow",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706443","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706444","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:10 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706445","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:11 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706446","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:11 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706447","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706448","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706449","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706450","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706451","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706452","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:12 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706453","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706454","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706455","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706456","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706457","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706458","Andrenidae","Andrena","prunorum","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:13 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","BBSL","Elle","GO_PT_2005"
"BBSL706459","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706460","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706461","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706462","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706463","Halictidae","Halictus","confusus","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706464","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:14 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706465","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706466","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706467","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706468","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706469","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706470","Syrphidae","Heringia",NA,NA,NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706471","Syrphidae","Toxomerus","occidentalis","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:15 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706472","Crabronidae","Astata",NA,"F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706473","Chrysididae","Trichrysis",NA,NA,NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706474","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706475","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706476","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706477","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, white","white",7,27,"Jul",2005,"1:59:16 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706478","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706479","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706480","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706481","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706482","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706483","Halictidae","Lasioglossum","pacatum","M",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:17 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706484","Chrysididae","Ceratochrysis",NA,NA,NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706485","Apidae","Bombus","bifarius","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706486","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706487","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706488","Halictidae","Lasioglossum","sp. 1","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706489","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:18 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706490","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706491","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706492","Halictidae","Lasioglossum","knereri","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706493","Megachilidae","Osmia","juxta","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706494","Apidae","Bombus","bifarius","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL706495","Apidae","Bombus","bifarius","F",NA,NA,"Pantrap, blue","blue",7,27,"Jul",2005,"1:59:19 PM","Cowichan Lake Forestry Station, Ministry of Forests, Mesachie Lake","FS","Garry Oak",48.81885,-124.1381885,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701312","Apidae","Bombus","bifarius","F",NA,NA,"Pantrap, yellow","yellow",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701313","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701314","Megachilidae","Osmia","dolerosa","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701315","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701316","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701317","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701318","Megachilidae","Osmia","lignaria","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701319","Megachilidae","Megachile","perihirta","M",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:21 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701320","Megachilidae","Stelis","""albosignata""","M",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:22 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701321","Megachilidae","Stelis","""albosignata""","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:22 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701322","Halictidae","Halictus","rubicundus","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:22 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
"BBSL701323","Halictidae","Lasioglossum","olympiae","F",NA,NA,"Pantrap, white","white",7,30,"May",2005,"2:54:22 PM","Highrock (Cairn) Park, Esquimalt","HC","Garry Oak",48.435778,-123.406917,"specimen","SFU","Elle","GO_PT_2005"
